name,location,price,capacity,rating,reviews,description
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"An urban oasis nestled in the heart of Midtown, this property offers lush lawns, verdant tropical foliage."
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,A charming and inviting private event space with high ceilings and ample natural light.
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,An industrial-meets-chic property perfect for couples who love to get creative.
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,3,"A wedding venue located in South Downtown Atlanta, offering custom wedding creation."
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,A unique wedding venue built in 1910 with over 100 years of history.
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,$$,251-300 Guests,4.7,132,"Celebrates Atlanta with city skylines and seasonal colors, offering indoor and outdoor spaces."
The Kimpton Shane,"Atlanta, GA",$$$,51-100 Guests,0,0,A boutique hotel specializing in weddings and events with stunning architecture.
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,A hotel surrounded by 83 acres of landscaped gardens with captivating views.
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,100,"A full-service venue for weddings, receptions, and rehearsal dinners with outstanding staff."
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,0,0,An elegant restaurant venue in Buckhead perfect for weddings and bridal events.
FORTH Hotel Atlanta,"Atlanta, GA",$$$$,201-250 Guests,0,0,A luxury venue with an elegant ballroom and state-of-the-art facilities.
The White Bull,"Decatur, GA",$$,51-100 Guests,0,0,A restaurant specializing in Italian farm-to-table cuisine with event space.
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,An elegant venue offering versatility and unique surroundings near the airport.
Grana,"Atlanta, GA",$$,151-200 Guests,5,1,Provides authentic Southern Italian cuisine in a warm setting with three event levels.
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,92,An elegant courthouse with white marble and 20-foot ceilings for weddings.
SCAD Ivy Hall,"Atlanta, GA",$$,101-150 Guests,4.5,4,A historic wedding venue originally constructed in 1883 with historic architecture.
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,A unique venue with a century-long legacy in the Druid Hills neighborhood.
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,"A Victorian-era home in Midtown, a historic destination for weddings."
